n,sigma,ratio_sigma_log2n
13077666,100,4.230011
13099140,119,5.033209
13120614,65,2.748957
13142088,111,4.693904
13163562,138,5.835084
13185036,127,5.369434
13206510,111,4.692504
13227984,119,5.030205
13249458,119,5.029707
13270932,165,6.973275
13292406,119,5.028715
13313880,95,4.014125
13335354,127,5.365724
13356828,127,5.365198
13378302,119,5.026741
13399776,119,5.026249
13421250,108,4.561193
13442724,146,6.165457
13464198,81,3.420229
13485672,54,2.279931
13507146,92,3.883951
13528620,165,6.965108
13550094,146,6.162470
13571568,89,3.756212
13593042,138,5.823678
13614516,89,3.755489
13635990,89,3.755129
13657464,73,3.079755
13678938,73,3.079460
13700412,146,6.158333
13721886,73,3.078873
13743360,73,3.078580
13764834,70,2.951783
13786308,108,4.553747
13807782,73,3.077704
13829256,127,5.353856
13850730,70,2.950666
13872204,127,5.352847
13893678,127,5.352343
13915152,138,5.815386
13936626,127,5.351339
13958100,108,4.550319
13979574,165,6.951227
14001048,108,4.549470
14022522,54,2.274523
14043996,89,3.748402
14065470,89,3.748054
14086944,127,5.347851
14108418,211,8.884191
14129892,89,3.747014
14151366,54,2.273259
14172840,154,6.482402
14194314,70,2.946276
14215788,84,3.535206
14237262,84,3.534882
14258736,70,2.945466
14280210,173,7.278843
14301684,127,5.342941
14323158,211,8.876046
14344632,89,3.743584
14366106,81,3.406773
14387580,81,3.406464
14409054,70,2.943592
14430528,51,2.144423
14452002,81,3.405541
14473476,89,3.741554
14494950,97,4.077507
14516424,108,4.539497
14537898,135,5.673863
14559372,135,5.673355
14580846,89,3.739877
14602320,89,3.739544
14623794,135,5.671837
14645268,173,7.267707
14666742,154,6.468945
14688216,135,5.670326
14709690,62,2.603919
14731164,173,7.265132
14752638,135,5.668822
14774112,135,5.668323
14795586,200,8.396777
14817060,62,2.602772
14838534,135,5.666829
14860008,97,4.071365
14881482,116,4.868424
14902956,181,7.595756
14924430,97,4.070299
14945904,70,2.937074
14967378,227,9.523682
14988852,108,4.530698
15010326,108,4.530305
15031800,78,3.271604
15053274,108,4.529522
15074748,135,5.661415
15096222,105,4.402943
15117696,59,2.473822
15139170,157,6.582317
15160644,97,4.066433
15182118,73,3.060044
15203592,89,3.730419
15225066,116,4.861704
15246540,105,4.400306
15268014,86,3.603753
15289488,59,2.472132
15310962,59,2.471923
15332436,59,2.471713
15353910,154,6.451045
15375384,54,2.261864
15396858,89,3.727572
15418332,143,5.988740
15439806,86,3.601317
15461280,86,3.601015
15482754,162,6.782738
15504228,43,1.800206
15525702,143,5.986230
15547176,59,2.469637
15568650,124,5.189991
15590124,143,5.984734
15611598,70,2.929346
15633072,143,5.983740
15654546,162,6.778220
15676020,143,5.982749
15697494,105,4.392565
15718968,86,3.597423
15740442,162,6.775982
15761916,100,4.182361
15783390,189,7.904013
15804864,86,3.596240
15826338,124,5.184852
15847812,143,5.978816
15869286,143,5.978327
15890760,97,4.054898
15912234,151,6.311750
15933708,86,3.594479
15955182,67,2.800123
15976656,105,4.387896
15998130,81,3.384675
16019604,151,6.309192
16041078,67,2.799217
16062552,113,4.720686
16084026,124,5.179805
16105500,124,5.179389
16126974,97,4.051293
16148448,86,3.591580
16169922,143,5.971568
16191396,132,5.511776
16212870,189,7.891231
16234344,78,3.256439
16255818,151,6.303630
16277292,113,4.716911
16298766,78,3.255662
16320240,151,6.302128
16341714,113,4.715789
16363188,132,5.508274
16384662,170,7.093429
16406136,75,3.129207
16427610,78,3.254119
16449084,151,6.299146
16470558,151,6.298651
16492032,43,1.793515
16513506,132,5.505243
16534980,78,3.252844
16556454,67,2.793891
16577928,75,3.127246
16599402,94,3.919177
16620876,151,6.295210
16642350,113,4.710619
16663824,124,5.168774
16685298,121,5.043332
16706772,86,3.584240
16728246,143,5.959380
16749720,75,3.125308
16771194,113,4.708435
16792668,178,7.416256
16814142,67,2.791298
16835616,113,4.707350
16857090,113,4.706989
16878564,159,6.622602
16900038,75,3.123630
16921512,59,2.457068
16942986,75,3.123154
16964460,75,3.122916
16985934,197,8.202237
17007408,113,4.704480
17028882,197,8.200993
17050356,102,4.245878
17071830,70,2.913618
17093304,94,3.912277
17114778,70,2.913178
17136252,151,6.283669
17157726,159,6.616081
17179200,86,3.578240
17200674,56,2.329842
17222148,83,3.452901
17243622,83,3.452642
17265096,135,5.615324
17286570,75,3.119392
17308044,113,4.699534
17329518,167,6.944812
17350992,67,2.786035
17372466,83,3.451101
17393940,140,5.820702
17415414,86,3.575310
17436888,102,4.240170
17458362,121,5.029634
17479836,64,2.660106
17501310,121,5.028893
17522784,48,1.994786
17544258,83,3.449065
17565732,64,2.659325
17587206,140,5.816847
17608680,121,5.027050
17630154,102,4.237369
17651628,102,4.237060
17673102,140,5.815148
17694576,167,6.936137
17716050,97,4.028481
17737524,121,5.024854
17758998,97,4.027897
17780472,129,5.356300
17801946,224,9.300189
17823420,178,7.389795
17844894,140,5.811779
17866368,121,5.022676
17887842,83,3.445059
17909316,48,1.992180
17930790,224,9.296174
17952264,78,3.236828
17973738,148,6.141235
17995212,167,6.929142
18016686,129,5.352069
18038160,64,2.655101
18059634,64,2.654911
18081108,91,3.774684
18102582,175,7.258492
18124056,67,2.778768
18145530,91,3.773881
18167004,91,3.773614
18188478,94,3.897743
18209952,83,3.441381
18231426,129,5.348276
18252900,186,7.710924
18274374,59,2.445766
18295848,91,3.772019
18317322,110,4.559263
18338796,91,3.771490
18360270,94,3.895552
18381744,110,4.558306
18403218,148,6.132566
18424692,110,4.557670
18446166,75,3.107286
18467640,110,4.557036
18489114,129,5.343789
18510588,156,6.461809
18532062,129,5.343049
18553536,140,5.798256
18575010,129,5.342310
18596484,110,4.555143
18617958,129,5.341573
18639432,91,3.767827
18660906,56,2.318503
18682380,148,6.127051
18703854,102,4.222408
18725328,91,3.766792
18746802,121,5.008249
18768276,121,5.007907
18789750,118,4.883410
18811224,110,4.552021
18832698,167,6.910325
18854172,91,3.765250
18875646,148,6.123288
18897120,148,6.122872
18918594,86,3.557644
18940068,148,6.122043
18961542,129,5.335744
18983016,118,4.880428
19004490,118,4.880099
19025964,118,4.879770
19047438,175,7.236460
19068912,129,5.333947
19090386,175,7.235488
19111860,99,4.092945
19133334,91,3.761950
19154808,175,7.234035
19176282,148,6.117518
19197756,91,3.761196
19219230,102,4.215565
19240704,53,2.190295
19262178,156,6.446476
19283652,53,2.190003
19305126,137,5.660577
19326600,156,6.445193
19348074,129,5.329326
19369548,80,3.304790
19391022,156,6.443915
19412496,80,3.304354
19433970,129,5.327920
19455444,48,1.982351
19476918,137,5.657589
19498392,48,1.982091
19519866,156,6.441373
19541340,156,6.440951
19562814,148,6.110246
19584288,80,3.302620
19605762,118,4.871046
19627236,175,7.223539
19648710,118,4.870412
19670184,183,7.552774
19691658,156,6.438012
19713132,129,5.323396
19734606,99,4.085132
19756080,118,4.868832
19777554,80,3.300689
19799028,64,2.640381
19820502,118,4.867888
19841976,118,4.867575
19863450,126,5.197245
19884924,156,6.434271
19906398,80,3.299414
19927872,80,3.299202
19949346,175,7.216543
19970820,91,3.752362
19992294,126,5.195246
20013768,80,3.298358
20035242,64,2.638518
20056716,145,5.977512
20078190,126,5.193922
20099664,118,4.863840
20121138,80,3.297309
20142612,137,5.646284
20164086,145,5.975615
20185560,159,6.552156
20207034,137,5.645212
20228508,137,5.644855
20249982,107,4.408478
20271456,107,4.408200
20292930,164,6.756068
20314404,91,3.748558
20335878,118,4.860463
20357352,88,3.624525
20378826,137,5.642372
20400300,118,4.859549
20421774,126,5.188686
20443248,88,3.623618
20464722,145,5.970362
20486196,61,2.511513
20507670,118,4.858034
20529144,107,4.404893
20550618,145,5.968877
20572092,88,3.622266
20593566,164,6.750168
20615040,88,3.621817
20636514,145,5.967398
20657988,72,2.962939
20679462,118,4.855628
20700936,61,2.509958
20722410,69,2.838958
20743884,126,5.183866
20765358,137,5.636080
20786832,137,5.635734
20808306,69,2.838262
20829780,88,3.619590
20851254,107,4.400824
20872728,134,5.510975
20894202,69,2.837568
20915676,164,6.743953
20937150,145,5.962278
20958624,99,4.070550
20980098,186,7.647235
21001572,107,4.398949
21023046,126,5.179756
21044520,53,2.178654
21065994,88,3.617170
21087468,88,3.616951
21108942,126,5.178504
21130416,126,5.178192
21151890,145,5.958671
21173364,118,4.848834
21194838,88,3.615862
21216312,153,6.286292
21237786,69,2.834825
21259260,210,8.627210
21280734,115,4.724142
21302208,153,6.284787
21323682,115,4.723578
21345156,199,8.173356
21366630,83,3.408784
21388104,145,5.954751
21409578,69,2.833472
21431052,172,7.062727
21452526,69,2.833135
21474000,126,5.173245
21495474,69,2.832800
21516948,88,3.612632
21538422,88,3.612419
21559896,80,3.283823
21581370,80,3.283630
21602844,64,2.626749
21624318,164,6.730649
21645792,80,3.283050
21667266,96,3.939429
21688740,96,3.939198
21710214,80,3.282473
21731688,80,3.282281
21753162,153,6.276995
21774636,107,4.389537
21796110,77,3.158642
21817584,134,5.496537
21839058,191,7.834160
21860532,69,2.829977
21882006,77,3.157907
21903480,80,3.280752
21924954,96,3.936674
21946428,172,7.052798
21967902,142,5.822322
21989376,61,2.500994
22010850,69,2.828830
22032324,77,3.156628
22053798,153,6.271899
22075272,107,4.385978
22096746,134,5.492404
22118220,110,4.508431
22139694,153,6.270458
22161168,134,5.491459
22182642,126,5.163315
22204116,96,3.933729
22225590,126,5.162724
22247064,134,5.490203
22268538,142,5.817645
22290012,58,2.376086
22311486,96,3.932608
22332960,115,4.710668
22354434,153,6.266881
22375908,61,2.498419
22397382,88,3.604072
22418856,88,3.603868
22440330,153,6.265461
22461804,107,4.381480
22483278,153,6.264754
22504752,180,7.369883
22526226,180,7.369468
22547700,77,3.152317
22569174,180,7.368639
22590648,77,3.151963
22612122,134,5.484926
22633596,77,3.151609
22655070,161,6.589360
22676544,77,3.151257
22698018,77,3.151080
22719492,180,7.365751
22740966,96,3.928181
22762440,107,4.378042
22783914,115,4.705110
22805388,104,4.254819
22826862,77,3.150028
22848336,115,4.704326
22869810,77,3.149678
22891284,115,4.703804
22912758,283,11.574809
22934232,58,2.372091
22955706,123,5.030191
22977180,85,3.475957
22998654,237,9.691251
23020128,58,2.371568
23041602,53,2.167003
23063076,85,3.475192
23084550,85,3.475001
23106024,69,2.820729
23127498,142,5.804660
23148972,53,2.166409
23170446,85,3.474240
23191920,142,5.803707
23213394,188,7.683362
23234868,69,2.819804
23256342,115,4.699417
23277816,180,7.355209
23299290,134,5.475247
23320764,142,5.801812
23342238,115,4.698396
23363712,50,2.042670
23385186,142,5.800869
23406660,123,5.024424
23428134,150,6.127016
23449608,142,5.799928
23471082,123,5.023611
23492556,115,4.696619
23514030,85,3.471227
23535504,104,4.246920
23556978,69,2.817517
23578452,96,3.919813
23599926,131,5.348624
23621400,123,5.021722
23642874,85,3.470110
23664348,123,5.021185
23685822,115,4.694353
23707296,85,3.469554
23728770,115,4.693852
23750244,85,3.469184
23771718,142,5.795270
23793192,104,4.244197
23814666,85,3.468631
23836140,88,3.590862
23857614,150,6.120464
23879088,50,2.040047
23900562,142,5.793426
23922036,142,5.793119
23943510,96,3.916268
23964984,66,2.692292
23986458,96,3.915855
24007932,142,5.791898
24029406,207,8.442674
24050880,66,2.691726
24072354,80,3.262526
24093828,112,4.567297
24115302,123,5.015608
24136776,93,3.792091
24158250,123,5.015083
24179724,142,5.789469
24201198,169,6.889923
24222672,85,3.465165
24244146,150,6.114679
24265620,123,5.013776
24287094,93,3.790706
24308568,131,5.339320
24330042,150,6.113407
24351516,50,2.037697
24372990,177,7.213073
24394464,93,3.789723
24415938,142,5.786160
24437412,112,4.563496
24458886,66,2.689064
24480360,131,5.337109
24501834,123,5.010921
24523308,131,5.336560
24544782,123,5.010405
24566256,150,6.109936
24587730,150,6.109622
24609204,74,3.013926
24630678,74,3.013771
24652152,74,3.013617
24673626,150,6.108371
24695100,66,2.687546
24716574,131,5.334099
24738048,112,4.560218
24759522,47,1.913565
24780996,77,3.134831
24802470,139,5.658692
24823944,58,2.361061
24845418,31,1.261882
24866892,74,3.012082
24888366,131,5.331929
24909840,150,6.104953
24931314,150,6.104644
24952788,93,3.784688
24974262,104,4.232126
24995736,123,5.005050
25017210,77,3.133085
25038684,131,5.330045
25060158,123,5.004294
25081632,55,2.237580
25103106,93,3.783354
25124580,104,4.230635
25146054,93,3.782975
25167528,74,3.009958
25189002,177,7.199134
25210476,158,6.426024
25231950,104,4.229577
25253424,112,4.554702
25274898,177,7.197696
25296372,74,3.009056
25317846,131,5.326578
25339320,120,4.879065
25360794,55,2.236127
25382268,120,4.878581
25403742,131,5.325520
25425216,74,3.008160
25446690,74,3.008011
25468164,74,3.007862
25489638,177,7.194125
25511112,93,3.779778
25532586,85,3.454465
25554060,158,6.420924
25575534,101,4.104313
25597008,139,5.648232
25618482,69,2.803661
25639956,93,3.778661
25661430,185,7.516323
25682904,101,4.103305
25704378,169,6.865590
25725852,101,4.102903
25747326,101,4.102703
25768800,158,6.417776
25790274,101,4.102302
25811748,112,4.548865
25833222,82,3.330257
25854696,82,3.330095
25876170,55,2.233492
25897644,139,5.644368
25919118,82,3.329609
25940592,50,2.030151
25962066,112,4.547318
25983540,55,2.232950
26005014,131,5.318223
26026488,158,6.414036
26047962,177,7.184997
26069436,147,5.966913
26090910,166,6.737821
26112384,93,3.774622
26133858,82,3.328001
26155332,101,4.098926
26176806,131,5.316173
26198280,120,4.869543
26219754,101,4.098336
26241228,66,2.677992
26262702,131,5.315154
26284176,112,4.544036
26305650,120,4.868377
26327124,139,5.638935
26348598,85,3.448105
26370072,128,5.192193
26391546,185,7.503983
26413020,112,4.542736
26434494,128,5.191451
26455968,120,4.866754
26477442,101,4.095990
26498916,120,4.866293
26520390,55,2.230278
26541864,166,6.731067
26563338,96,3.892481
26584812,120,4.865371
26606286,185,7.500427
26627760,96,3.891930
26649234,112,4.540370
26670708,128,5.188750
26692182,82,3.323887
26713656,128,5.188262
26735130,63,2.553478
26756604,120,4.863539
26778078,185,7.497604
26799552,120,4.863083
26821026,82,3.322951
26842500,109,4.416887
26863974,101,4.092520
26885448,147,5.956162
26906922,161,6.523111
26928396,82,3.322175
26949870,147,5.955329
26971344,55,2.228081
26992818,120,4.861041
27014292,93,3.767131
27035766,120,4.860589
27057240,166,6.723503
27078714,101,4.090616
27100188,147,5.953394
27121662,166,6.722569
27143136,90,3.644598
27164610,166,6.721947
27186084,139,5.628359
27207558,139,5.628099
27229032,90,3.643925
27250506,90,3.643757
27271980,90,3.643590
27293454,74,2.995703
