n,sigma,ratio_sigma_log2n
645272226,164,5.603900
645293700,150,5.125510
645315174,164,5.603882
645336648,85,2.904446
645358122,150,5.125485
645379596,142,4.852118
645401070,115,3.929525
645422544,85,2.904427
645444018,169,5.774675
645465492,150,5.125443
645486966,150,5.125434
645508440,85,2.904408
645529914,85,2.904403
645551388,164,5.603781
645572862,150,5.125401
645594336,169,5.774609
645615810,169,5.774599
645637284,226,7.722232
645658758,188,6.423793
645680232,169,5.774571
645701706,169,5.774561
645723180,207,7.072972
645744654,85,2.904356
645766128,169,5.774533
645787602,112,3.826903
645809076,142,4.851958
645830550,188,6.423709
645852024,142,4.851943
645873498,188,6.423688
645894972,226,7.722080
645916446,112,3.826865
645937920,164,5.603615
645959394,150,5.125249
645980868,85,2.904303
646002342,142,4.851887
646023816,80,2.733453
646045290,142,4.851871
646066764,142,4.851863
646088238,142,4.851855
646109712,164,5.603542
646131186,80,2.733431
646152660,104,3.553454
646174134,180,6.150199
646195608,96,3.280101
646217082,96,3.280095
646238556,188,6.423509
646260030,264,9.020232
646281504,85,2.904237
646302978,253,8.644361
646324452,85,2.904227
646345926,96,3.280063
646367400,112,3.826734
646388874,80,2.733377
646410348,161,5.500912
646431822,80,2.733368
646453296,112,3.826709
646474770,161,5.500885
646496244,161,5.500876
646517718,112,3.826690
646539192,80,2.733345
646560666,80,2.733341
646582140,180,6.150007
646603614,112,3.826665
646625088,142,4.851656
646646562,112,3.826652
646668036,96,3.279982
646689510,96,3.279977
646710984,150,5.124956
646732458,85,2.904137
646753932,66,2.254973
646775406,96,3.279956
646796880,150,5.124922
646818354,96,3.279945
646839828,112,3.826596
646861302,112,3.826590
646882776,169,5.774041
646904250,80,2.733269
646925724,96,3.279918
646947198,180,6.149836
646968672,131,4.475707
646990146,85,2.904080
647011620,131,4.475692
647033094,115,3.929036
647054568,112,3.826533
647076042,161,5.500633
647097516,196,6.696412
647118990,142,4.851474
647140464,161,5.500606
647161938,253,8.643795
647183412,161,5.500588
647204886,169,5.773899
647226360,188,6.423026
647247834,104,3.553157
647269308,131,4.475604
647290782,142,4.851410
647312256,142,4.851402
647333730,169,5.773843
647355204,115,3.928940
647376678,80,2.733171
647398152,150,5.124687
647419626,66,2.254859
647441100,150,5.124671
647462574,150,5.124662
647484048,123,4.202216
647505522,150,5.124646
647526996,96,3.279768
647548470,215,7.345301
647569944,150,5.124620
647591418,299,10.215060
647612892,80,2.733122
647634366,150,5.124595
647655840,96,3.279736
647677314,96,3.279730
647698788,188,6.422795
647720262,188,6.422784
647741736,112,3.826333
647763210,188,6.422763
647784684,180,6.149444
647806158,169,5.773635
647827632,169,5.773626
647849106,112,3.826302
647870580,169,5.773607
647892054,96,3.279677
647913528,169,5.773588
647935002,96,3.279666
647956476,150,5.124470
647977950,150,5.124461
647999424,112,3.826258
648020898,169,5.773541
648042372,169,5.773531
648063846,80,2.733028
648085320,80,2.733024
648106794,85,2.903833
648128268,115,3.928709
648149742,115,3.928702
648171216,80,2.733006
648192690,164,5.602653
648214164,142,4.851070
648235638,142,4.851062
648257112,134,4.577755
648278586,134,4.577747
648300060,142,4.851038
648321534,134,4.577732
648343008,80,2.732970
648364482,196,6.695766
648385956,112,3.826146
648407430,169,5.773371
648428904,96,3.279543
648450378,134,4.577688
648471852,112,3.826121
648493326,164,5.602525
648514800,134,4.577665
648536274,80,2.732930
648557748,96,3.279511
648579222,69,2.357144
648600696,169,5.773286
648622170,96,3.279495
648643644,150,5.124202
648665118,150,5.124194
648686592,112,3.826058
648708066,131,4.475114
648729540,131,4.475107
648751014,150,5.124160
648772488,169,5.773211
648793962,131,4.475085
648815436,169,5.773192
648836910,66,2.254616
648858384,123,4.201777
648879858,150,5.124110
648901332,169,5.773155
648922806,150,5.124093
648944280,169,5.773136
648965754,69,2.357075
648987228,131,4.475020
649008702,196,6.695438
649030176,215,7.344474
649051650,112,3.825952
649073124,112,3.825946
649094598,112,3.825940
649116072,112,3.825934
649137546,169,5.773051
649159020,196,6.695362
649180494,177,6.046312
649201968,112,3.825909
649223442,188,6.422050
649244916,66,2.254546
649266390,80,2.732778
649287864,112,3.825884
649309338,66,2.254535
649330812,150,5.123935
649352286,180,6.148711
649373760,169,5.772947
649395234,80,2.732752
649416708,80,2.732747
649438182,150,5.123893
649459656,150,5.123884
649481130,96,3.279281
649502604,112,3.825821
649524078,112,3.825815
649545552,80,2.732721
649567026,80,2.732716
649588500,96,3.279254
649609974,180,6.148591
649631448,150,5.123818
649652922,80,2.732698
649674396,80,2.732694
649695870,180,6.148551
649717344,123,4.201503
649738818,123,4.201496
649760292,177,6.046046
649781766,80,2.732672
649803240,112,3.825734
649824714,112,3.825728
649846188,150,5.123734
649867662,134,4.577195
649889136,96,3.279179
649910610,150,5.123709
649932084,104,3.552433
649953558,112,3.825690
649975032,112,3.825684
649996506,150,5.123676
650017980,80,2.732623
650039454,150,5.123659
650060928,96,3.279137
650082402,150,5.123642
650103876,96,3.279126
650125350,188,6.421611
650146824,150,5.123617
650168298,96,3.279110
650189772,112,3.825622
650211246,169,5.772581
650232720,112,3.825609
650254194,112,3.825603
650275668,112,3.825597
650297142,142,4.850303
650318616,104,3.552329
650340090,112,3.825578
650361564,272,9.290675
650383038,66,2.254351
650404512,66,2.254348
650425986,131,4.474531
650447460,150,5.123501
650468934,131,4.474517
650490408,104,3.552282
650511882,188,6.421423
650533356,104,3.552271
650554830,177,6.045682
650576304,188,6.421392
650597778,123,4.201223
650619252,131,4.474466
650640726,85,2.903275
650662200,112,3.825485
650683674,150,5.123409
650705148,150,5.123401
650726622,169,5.772355
650748096,123,4.201175
650769570,80,2.732467
650791044,169,5.772327
650812518,196,6.694523
650833992,112,3.825435
650855466,169,5.772299
650876940,169,5.772290
650898414,261,8.914587
650919888,112,3.825410
650941362,112,3.825404
650962836,169,5.772252
650984310,142,4.850050
651005784,96,3.278902
651027258,169,5.772224
651048732,96,3.278891
651070206,153,5.225724
651091680,131,4.474306
651113154,112,3.825354
651134628,161,5.498938
651156102,169,5.772168
651177576,93,3.176395
651199050,112,3.825330
651220524,112,3.825323
651241998,150,5.123193
651263472,169,5.772121
651284946,112,3.825305
651306420,169,5.772102
651327894,112,3.825292
651349368,169,5.772083
651370842,169,5.772074
651392316,150,5.123134
651413790,207,7.069914
651435264,93,3.176333
651456738,177,6.045269
651478212,169,5.772027
651499686,169,5.772018
651521160,115,3.927698
651542634,96,3.278769
651564108,169,5.771990
651585582,104,3.551988
651607056,112,3.825211
651628530,80,2.732289
651650004,169,5.771952
651671478,150,5.123026
651692952,177,6.045161
651714426,188,6.420839
651735900,188,6.420828
651757374,115,3.927628
651778848,66,2.254113
651800322,112,3.825156
651821796,123,4.200834
651843270,93,3.176235
651864744,66,2.254099
651886218,96,3.278683
651907692,161,5.498617
651929166,169,5.771830
651950640,169,5.771821
651972114,93,3.176204
651993588,115,3.927558
652015062,150,5.122893
652036536,96,3.278646
652058010,93,3.176183
652079484,169,5.771765
652100958,115,3.927526
652122432,142,4.849633
652143906,169,5.771737
652165380,207,7.069512
652186854,169,5.771718
652208328,177,6.044926
652229802,169,5.771699
652251276,123,4.200697
652272750,169,5.771680
652294224,96,3.278582
652315698,142,4.849562
652337172,188,6.420536
652358646,80,2.732139
652380120,142,4.849538
652401594,69,2.356462
652423068,131,4.473855
652444542,104,3.551757
652466016,131,4.473841
652487490,104,3.551746
652508964,96,3.278529
652530438,104,3.551734
652551912,104,3.551729
652573386,96,3.278513
652594860,142,4.849460
652616334,150,5.122660
652637808,207,7.069260
652659282,131,4.473776
652680756,131,4.473768
652702230,142,4.849420
652723704,188,6.420349
652745178,215,7.342409
652766652,131,4.473739
652788126,131,4.473732
652809600,123,4.200520
652831074,66,2.253934
652852548,150,5.122569
652874022,131,4.473703
652895496,104,3.551636
652916970,115,3.927284
652938444,93,3.175972
652959918,93,3.175967
652981392,69,2.356359
653002866,234,7.991117
653024340,93,3.175952
653045814,161,5.498144
653067288,169,5.771334
653088762,215,7.342218
653110236,169,5.771316
653131710,161,5.498108
653153184,131,4.473609
653174658,169,5.771288
653196132,169,5.771278
653217606,207,7.068951
653239080,169,5.771260
653260554,131,4.473573
653282028,131,4.473565
653303502,207,7.068905
653324976,169,5.771222
653346450,123,4.200350
653367924,123,4.200343
653389398,123,4.200337
653410872,169,5.771185
653432346,169,5.771175
653453820,131,4.473507
653475294,123,4.200309
653496768,131,4.473493
653518242,93,3.175833
653539716,112,3.824653
653561190,150,5.122295
653582664,131,4.473464
653604138,131,4.473457
653625612,93,3.175808
653647086,66,2.253795
653668560,93,3.175797
653690034,215,7.341885
653711508,123,4.200235
653732982,169,5.771045
653754456,142,4.849036
653775930,123,4.200214
653797404,215,7.341826
653818878,253,8.639437
653840352,150,5.122188
653861826,169,5.770989
653883300,93,3.175746
653904774,123,4.200173
653926248,145,4.951416
653947722,177,6.044132
653969196,169,5.770942
653990670,123,4.200146
654012144,215,7.341707
654033618,145,4.951376
654055092,150,5.122105
654076566,207,7.068493
654098040,123,4.200112
654119514,66,2.253715
654140988,169,5.770867
654162462,131,4.473269
654183936,93,3.175674
654205410,96,3.278110
654226884,93,3.175664
654248358,96,3.278099
654269832,85,2.902479
654291306,207,7.068379
654312780,150,5.122005
654334254,104,3.551251
654355728,150,5.121989
654377202,207,7.068333
654398676,96,3.278062
654420150,196,6.692699
654441624,150,5.121956
654463098,150,5.121947
654484572,93,3.175602
654506046,96,3.278036
654527520,93,3.175592
654548994,96,3.278025
654570468,150,5.121906
654591942,188,6.419445
654613416,93,3.175571
654634890,188,6.419424
654656364,234,7.990122
654677838,123,4.199929
654699312,66,2.253617
654720786,188,6.419383
654742260,142,4.848675
654763734,96,3.277972
654785208,150,5.121823
654806682,93,3.175525
654828156,177,6.043732
654849630,188,6.419321
654871104,150,5.121790
654892578,145,4.951056
654914052,188,6.419289
654935526,188,6.419279
654957000,169,5.770513
654978474,188,6.419258
654999948,142,4.848581
655021422,161,5.497326
655042896,77,2.629152
655064370,169,5.770466
655085844,150,5.121707
655107318,169,5.770448
655128792,96,3.277882
655150266,169,5.770429
655171740,215,7.341066
655193214,142,4.848510
655214688,93,3.175428
655236162,142,4.848495
655257636,234,7.989760
655279110,93,3.175412
655300584,169,5.770364
655322058,85,2.902249
655343532,93,3.175397
655365006,93,3.175392
655386480,93,3.175387
655407954,169,5.770317
655429428,104,3.550959
655450902,234,7.989644
655472376,93,3.175366
655493850,93,3.175361
655515324,161,5.497122
655536798,234,7.989593
655558272,66,2.253471
655579746,77,2.629045
655601220,77,2.629041
655622694,104,3.550907
655644168,77,2.629033
655665642,161,5.497060
655687116,93,3.175315
655708590,77,2.629020
655730064,93,3.175305
655751538,131,4.472734
655773012,112,3.824011
655794486,142,4.848291
655815960,104,3.550856
655837434,142,4.848276
655858908,96,3.277702
655880382,93,3.175269
655901856,93,3.175264
655923330,61,2.082697
655944804,272,9.286763
655966278,93,3.175248
655987752,150,5.121360
656009226,134,4.575074
656030700,234,7.989296
656052174,61,2.082676
656073648,93,3.175223
656095122,112,3.823918
656116596,123,4.199475
656138070,104,3.550770
656159544,96,3.277628
656181018,131,4.472590
656202492,96,3.277618
656223966,161,5.496829
656245440,123,4.199434
656266914,272,9.286539
656288388,131,4.472554
656309862,77,2.628901
656331336,131,4.472539
656352810,96,3.277581
656374284,96,3.277575
656395758,131,4.472518
656417232,123,4.199380
656438706,66,2.253322
656460180,177,6.042991
656481654,145,4.950465
656503128,93,3.175121
656524602,169,5.769833
656546076,112,3.823789
656567550,61,2.082596
656589024,150,5.121129
656610498,96,3.277517
656631972,234,7.988936
656653446,131,4.472431
656674920,145,4.950393
656696394,169,5.769759
656717868,96,3.277491
656739342,77,2.628817
656760816,93,3.175059
656782290,96,3.277475
656803764,150,5.121047
656825238,161,5.496581
656846712,93,3.175039
656868186,145,4.950321
656889660,177,6.042796
656911134,161,5.496546
656932608,112,3.823678
656954082,66,2.253235
656975556,66,2.253232
656997030,150,5.120972
657018504,145,4.950265
657039978,96,3.277412
657061452,123,4.199177
657082926,123,4.199170
657104400,115,3.926047
657125874,96,3.277391
657147348,123,4.199150
657168822,115,3.926028
657190296,177,6.042660
657211770,177,6.042650
657233244,112,3.823592
657254718,131,4.472230
657276192,96,3.277354
657297666,115,3.925990
657319140,177,6.042602
657340614,115,3.925978
657362088,85,2.901805
657383562,215,7.339848
657405036,177,6.042563
657426510,85,2.901791
657447984,145,4.950106
657469458,115,3.925940
657490932,131,4.472150
657512406,177,6.042514
657533880,150,5.120766
657555354,150,5.120758
657576828,215,7.339742
657598302,131,4.472114
657619776,150,5.120734
657641250,150,5.120725
657662724,161,5.496236
657684198,93,3.174839
657705672,96,3.277248
657727146,150,5.120692
657748620,112,3.823444
657770094,112,3.823438
657791568,85,2.901712
657813042,131,4.472043
657834516,112,3.823420
657855990,196,6.690973
657877464,131,4.472021
657898938,196,6.690952
657920412,158,5.393718
657941886,112,3.823389
657963360,169,5.769211
657984834,61,2.082375
658006308,169,5.769193
658027782,61,2.082368
658049256,150,5.120569
658070730,123,4.198860
658092204,123,4.198853
658113678,123,4.198846
658135152,188,6.417738
658156626,158,5.393623
658178100,131,4.471920
658199574,123,4.198819
658221048,161,5.496007
658242522,150,5.120495
658263996,93,3.174702
658285470,158,5.393571
658306944,93,3.174691
658328418,188,6.417646
658349892,188,6.417635
658371366,131,4.471856
658392840,158,5.393527
658414314,93,3.174666
658435788,123,4.198745
658457262,61,2.082301
658478736,93,3.174651
658500210,131,4.471813
658521684,123,4.198718
658543158,161,5.495874
658564632,93,3.174630
658586106,150,5.120363
658607580,158,5.393441
658629054,177,6.042009
658650528,77,2.628440
658672002,226,7.714631
658693476,161,5.495812
658714950,131,4.471741
658736424,93,3.174590
658757898,131,4.471726
658779372,131,4.471719
658800846,142,4.847199
658822320,85,2.901488
658843794,131,4.471698
658865268,131,4.471691
658886742,161,5.495733
658908216,188,6.417367
658929690,150,5.120232
658951164,161,5.495707
658972638,131,4.471655
658994112,169,5.768767
659015586,161,5.495680
659037060,131,4.471633
659058534,115,3.925473
659080008,93,3.174508
659101482,131,4.471612
659122956,169,5.768711
659144430,131,4.471597
659165904,93,3.174488
659187378,93,3.174483
659208852,142,4.847052
659230326,161,5.495592
659251800,131,4.471561
659273274,93,3.174462
659294748,131,4.471547
659316222,131,4.471540
659337696,112,3.822990
659359170,158,5.393138
659380644,158,5.393129
659402118,169,5.768591
659423592,85,2.901358
659445066,131,4.471497
659466540,131,4.471490
659488014,93,3.174411
659509488,66,2.252804
659530962,215,7.338669
659552436,180,6.143992
659573910,207,7.065580
659595384,150,5.119977
659616858,93,3.174381
659638332,150,5.119961
659659806,150,5.119952
659681280,93,3.174365
659702754,150,5.119936
659724228,85,2.901292
659745702,150,5.119920
659767176,93,3.174345
659788650,131,4.471382
659810124,112,3.822855
659831598,169,5.768406
659853072,112,3.822843
659874546,131,4.471353
659896020,77,2.628196
659917494,93,3.174309
659938968,196,6.689932
659960442,93,3.174299
659981916,131,4.471318
660003390,131,4.471311
660024864,77,2.628171
660046338,142,4.846749
660067812,234,7.986883
660089286,77,2.628158
660110760,93,3.174264
660132234,96,3.276654
660153708,188,6.416771
660175182,93,3.174248
660196656,196,6.689803
660218130,158,5.392792
660239604,150,5.119731
660261078,131,4.471225
660282552,131,4.471217
660304026,131,4.471210
660325500,188,6.416688
660346974,158,5.392740
660368448,150,5.119682
660389922,66,2.252656
660411396,131,4.471174
660432870,131,4.471167
660454344,96,3.276575
660475818,158,5.392688
660497292,96,3.276565
660518766,61,2.081981
660540240,150,5.119616
660561714,131,4.471124
660583188,85,2.901107
660604662,131,4.471110
660626136,169,5.768064
660647610,93,3.174137
660669084,150,5.119567
660690558,150,5.119559
660712032,93,3.174121
660733506,93,3.174116
660754980,280,9.556464
660776454,96,3.276497
660797928,131,4.471046
660819402,234,7.986435
660840876,226,7.713382
660862350,169,5.767962
660883824,77,2.628002
660905298,188,6.416411
660926772,77,2.627994
660948246,169,5.767926
660969720,169,5.767916
660991194,169,5.767907
661012668,93,3.174050
661034142,158,5.392464
661055616,77,2.627969
661077090,77,2.627965
661098564,77,2.627960
661120038,93,3.174025
661141512,188,6.416298
661162986,150,5.119379
661184460,158,5.392404
661205934,169,5.767815
661227408,131,4.470903
661248882,150,5.119346
661270356,150,5.119338
661291830,93,3.173984
661313304,112,3.822427
661334778,112,3.822421
661356252,85,2.900939
661377726,123,4.197823
661399200,85,2.900930
661420674,131,4.470838
661442148,77,2.627893
661463622,188,6.416144
661485096,85,2.900912
661506570,123,4.197783
661528044,131,4.470803
661549518,77,2.627872
661570992,131,4.470788
661592466,112,3.822347
661613940,123,4.197750
661635414,112,3.822335
661656888,112,3.822329
661678362,150,5.119182
661699836,112,3.822317
661721310,234,7.985899
661742784,123,4.197709
661764258,123,4.197703
661785732,188,6.415991
661807206,85,2.900842
661828680,123,4.197683
661850154,142,4.846097
661871628,112,3.822268
661893102,142,4.846082
661914576,50,1.706364
661936050,150,5.119084
661957524,142,4.846059
661978998,150,5.119068
662000472,188,6.415888
662021946,234,7.985720
662043420,112,3.822219
662064894,158,5.392050
662086368,196,6.688862
662107842,234,7.985669
662129316,112,3.822195
662150790,150,5.119002
662172264,112,3.822182
662193738,150,5.118986
662215212,188,6.415786
662236686,207,7.064178
662258160,188,6.415765
662279634,104,3.549141
662301108,104,3.549135
662322582,150,5.118937
662344056,196,6.688734
662365530,104,3.549118
662387004,131,4.470517
662408478,207,7.064088
662429952,66,2.252314
662451426,104,3.549096
662472900,93,3.173705
662494374,66,2.252304
662515848,150,5.118863
662537322,142,4.845850
662558796,104,3.549067
662580270,142,4.845834
662601744,123,4.197441
662623218,142,4.845819
662644692,123,4.197428
662666166,131,4.470424
662687640,77,2.627650
662709114,142,4.845788
662730588,77,2.627641
662752062,253,8.633665
662773536,77,2.627633
662795010,104,3.549005
662816484,112,3.821999
662837958,131,4.470367
662859432,126,4.299736
662880906,150,5.118725
662902380,150,5.118716
662923854,126,4.299715
662945328,112,3.821963
662966802,142,4.845695
662988276,77,2.627591
663009750,150,5.118676
663031224,150,5.118668
663052698,112,3.821932
663074172,196,6.688371
663095646,226,7.712089
663117120,74,2.525193
663138594,150,5.118627
663160068,74,2.525185
663181542,77,2.627553
663203016,196,6.688307
663224490,112,3.821884
663245964,188,6.415294
663267438,150,5.118578
663288912,112,3.821865
663310386,226,7.711966
663331860,104,3.548864
663353334,150,5.118545
663374808,131,4.470189
663396282,131,4.470182
663417756,150,5.118521
663439230,177,6.039845
663460704,150,5.118504
663482178,210,7.165895
663503652,158,5.391474
663525126,169,5.766821
663546600,74,2.525113
663568074,150,5.118464
663589548,77,2.627474
663611022,126,4.299496
663632496,150,5.118439
663653970,188,6.415100
663675444,126,4.299475
663696918,104,3.548767
663718392,104,3.548762
663739866,142,4.845417
663761340,142,4.845409
663782814,177,6.039691
663804288,131,4.470047
663825762,150,5.118366
663847236,169,5.766683
663868710,126,4.299414
663890184,169,5.766665
663911658,142,4.845355
663933132,131,4.470004
663954606,169,5.766637
663976080,131,4.469990
663997554,123,4.197006
664019028,150,5.118292
664040502,158,5.391259
664061976,150,5.118276
664083450,169,5.766582
664104924,77,2.627373
664126398,161,5.493590
664147872,169,5.766554
664169346,123,4.196953
664190820,58,1.979048
664212294,150,5.118219
664233768,215,7.336102
664255242,123,4.196926
664276716,131,4.469890
664298190,215,7.336067
664319664,123,4.196906
664341138,215,7.336044
664362612,126,4.299256
664384086,123,4.196886
664405560,150,5.118146
664427034,215,7.335997
664448508,142,4.845163
664469982,142,4.845155
664491456,142,4.845147
664512930,112,3.821518
664534404,142,4.845132
664555878,142,4.845124
664577352,161,5.493407
664598826,131,4.469783
664620300,142,4.845101
664641774,142,4.845093
664663248,177,6.039297
664684722,123,4.196793
664706196,112,3.821464
664727670,142,4.845062
664749144,112,3.821452
664770618,142,4.845047
664792092,242,8.257039
664813566,142,4.845032
664835040,180,6.141580
664856514,142,4.845016
664877988,115,3.923774
664899462,215,7.335741
664920936,93,3.173129
664942410,115,3.923756
664963884,126,4.299065
664985358,215,7.335694
665006832,126,4.299051
665028306,115,3.923731
665049780,93,3.173099
665071254,150,5.117893
665092728,215,7.335636
665114202,158,5.390831
665135676,142,4.844916
665157150,126,4.299003
665178624,142,4.844901
665200098,58,1.978900
665221572,112,3.821318
665243046,126,4.298976
665264520,77,2.627148
665285994,93,3.173044
665307468,158,5.390754
665328942,77,2.627135
665350416,180,6.141345
665371890,77,2.627127
665393364,215,7.335472
665414838,177,6.038961
665436312,150,5.117755
665457786,126,4.298908
665479260,150,5.117739
665500734,158,5.390676
665522208,150,5.117723
665543682,112,3.821227
665565156,126,4.298873
665586630,93,3.172973
665608104,112,3.821209
665629578,112,3.821203
665651052,93,3.172958
665672526,126,4.298839
665694000,112,3.821184
665715474,158,5.390591
665736948,126,4.298819
665758422,112,3.821166
665779896,126,4.298805
665801370,142,4.844677
665822844,215,7.335239
665844318,158,5.390540
665865792,74,2.524679
665887266,131,4.469357
665908740,93,3.172897
665930214,93,3.172892
665951688,123,4.196399
665973162,131,4.469329
665994636,126,4.298737
666016110,142,4.844601
666037584,104,3.548153
666059058,142,4.844585
666080532,188,6.413948
666102006,142,4.844570
666123480,93,3.172847
666144954,77,2.626977
666166428,96,3.275187
666187902,215,7.335042
666209376,158,5.390394
666230850,196,6.686807
666252324,158,5.390377
666273798,96,3.275161
666295272,158,5.390360
666316746,150,5.117422
666338220,96,3.275145
666359694,158,5.390334
666381168,150,5.117398
666402642,96,3.275129
666424116,169,5.765583
666445590,253,8.631303
666467064,74,2.524567
666488538,150,5.117357
666510012,112,3.820954
666531486,123,4.196220
666552960,93,3.172746
666574434,112,3.820936
666595908,96,3.275083
666617382,158,5.390232
666638856,142,4.844378
666660330,93,3.172721
666681804,77,2.626873
666703278,158,5.390197
666724752,77,2.626864
666746226,215,7.334739
666767700,66,2.251591
666789174,139,4.741979
666810648,66,2.251584
666832122,177,6.038328
666853596,142,4.844301
666875070,158,5.390129
666896544,131,4.469024
666918018,96,3.275005
666939492,234,7.982812
666960966,93,3.172651
666982440,150,5.117171
667003914,131,4.468989
667025388,150,5.117154
667046862,158,5.390061
667068336,139,4.741881
667089810,177,6.038214
667111284,177,6.038204
667132758,158,5.390027
667154232,96,3.274948
667175706,158,5.390010
667197180,158,5.390001
667218654,139,4.741829
667240128,112,3.820748
667261602,142,4.844155
667283076,169,5.765218
667304550,169,5.765209
667326024,139,4.741791
667347498,131,4.468875
667368972,74,2.524399
667390446,131,4.468861
667411920,74,2.524391
667433394,142,4.844094
667454868,112,3.820688
667476342,158,5.389890
667497816,77,2.626714
667519290,169,5.765117
667540764,142,4.844055
667562238,142,4.844048
667583712,139,4.741701
667605186,150,5.116936
667626660,139,4.741686
667648134,139,4.741679
667669608,131,4.468769
667691082,169,5.765044
667712556,96,3.274813
667734030,207,7.061304
667755504,74,2.524327
667776978,196,6.686045
667798452,150,5.116863
667819926,74,2.524315
667841400,112,3.820579
667862874,112,3.820573
667884348,169,5.764962
667905822,112,3.820561
667927296,139,4.741581
667948770,158,5.389702
667970244,112,3.820542
667991718,161,5.492021
668013192,150,5.116782
668034666,74,2.524275
668056140,142,4.843871
668077614,112,3.820512
668099088,150,5.116749
668120562,112,3.820500
668142036,161,5.491960
668163510,215,7.333973
668184984,234,7.982079
668206458,150,5.116709
668227932,150,5.116701
668249406,158,5.389583
668270880,123,4.195681
668292354,161,5.491900
668313828,196,6.685780
668335302,139,4.741439
668356776,150,5.116652
668378250,123,4.195648
668399724,142,4.843749
668421198,158,5.389515
668442672,112,3.820410
668464146,74,2.524195
668485620,150,5.116604
668507094,150,5.116596
668528568,112,3.820385
668550042,112,3.820379
668571516,112,3.820373
668592990,112,3.820367
668614464,74,2.524167
668635938,112,3.820355
668657412,131,4.468444
668678886,112,3.820343
668700360,112,3.820337
668721834,66,2.251267
668743308,112,3.820325
668764782,112,3.820319
668786256,150,5.116491
668807730,93,3.172219
668829204,169,5.764561
668850678,112,3.820295
668872152,93,3.172204
668893626,123,4.195489
668915100,196,6.685484
668936574,115,3.922599
668958048,131,4.468345
668979522,188,6.412577
669000996,150,5.116410
669022470,123,4.195449
669043944,169,5.764470
669065418,123,4.195436
669086892,139,4.741176
669108366,142,4.843496
669129840,66,2.251199
669151314,150,5.116353
669172788,112,3.820204
669194262,112,3.820198
669215736,123,4.195390
669237210,123,4.195383
669258684,215,7.333382
669280158,123,4.195370
669301632,169,5.764361
669323106,131,4.468225
669344580,177,6.037211
669366054,131,4.468211
669387528,112,3.820144
669409002,74,2.524020
669430476,177,6.037173
669451950,139,4.741049
669473424,188,6.412344
669494898,112,3.820114
669516372,77,2.626324
669537846,215,7.333231
669559320,150,5.116200
669580794,131,4.468141
669602268,112,3.820084
669623742,112,3.820078
669645216,112,3.820072
669666690,139,4.740974
669688164,112,3.820060
669709638,112,3.820054
669731112,74,2.523960
669752586,112,3.820042
669774060,253,8.629187
669795534,112,3.820029
669817008,112,3.820023
669838482,253,8.629146
669859956,215,7.333058
669881430,215,7.333046
669902904,196,6.684999
669924378,150,5.116062
669945852,131,4.468021
669967326,215,7.333000
669988800,150,5.116038
670010274,112,3.819969
670031748,215,7.332965
670053222,77,2.626221
670074696,150,5.116006
670096170,66,2.251039
670117644,139,4.740817
670139118,196,6.684883
670160592,139,4.740802
670182066,112,3.819921
670203540,139,4.740787
670225014,66,2.251018
670246488,112,3.819903
670267962,139,4.740765
670289436,131,4.467908
670310910,196,6.684799
670332384,93,3.171864
670353858,253,8.628820
670375332,93,3.171854
670396806,93,3.171849
670418280,66,2.250986
670439754,131,4.467859
670461228,93,3.171834
670482702,93,3.171829
670504176,150,5.115845
670525650,223,7.605544
670547124,93,3.171814
670568598,177,6.036668
670590072,177,6.036659
670611546,112,3.819801
670633020,112,3.819795
670654494,77,2.626105
670675968,104,3.546941
670697442,112,3.819777
670718916,93,3.171774
670740390,177,6.036592
670761864,150,5.115748
670783338,112,3.819752
670804812,215,7.332549
670826286,131,4.467732
670847760,66,2.250915
670869234,142,4.842870
670890708,123,4.194874
670912182,196,6.684504
670933656,93,3.171724
670955130,93,3.171719
670976604,93,3.171714
670998078,112,3.819692
671019552,169,5.763634
671041026,112,3.819680
671062500,177,6.036450
671083974,196,6.684419
671105448,104,3.546829
671126922,169,5.763588
671148396,234,7.980341
671169870,139,4.740451
671191344,150,5.115587
671212818,93,3.171659
671234292,139,4.740429
671255766,93,3.171649
671277240,169,5.763525
671298714,123,4.194748
671320188,253,8.628208
671341662,107,3.649078
671363136,191,6.513765
671384610,177,6.036307
671406084,93,3.171614
671427558,112,3.819572
671449032,177,6.036279
671470506,196,6.684230
671491980,58,1.977983
671513454,123,4.194682
671534928,112,3.819542
671556402,112,3.819536
671577876,85,2.898750
671599350,107,3.649010
671620824,107,3.649004
671642298,85,2.898737
671663772,85,2.898732
671685246,142,4.842580
671706720,123,4.194623
671728194,85,2.898719
671749668,177,6.036146
671771142,234,7.979977
671792616,104,3.546651
671814090,85,2.898700
671835564,107,3.648946
671857038,188,6.411223
671878512,188,6.411213
671899986,280,9.548600
671921460,107,3.648923
671942934,188,6.411183
671964408,107,3.648912
671985882,93,3.171479
672007356,107,3.648901
672028830,131,4.467338
672050304,112,3.819398
672071778,139,4.740138
672093252,123,4.194504
672114726,93,3.171449
672136200,93,3.171444
672157674,123,4.194484
672179148,196,6.683883
672200622,123,4.194471
672222096,169,5.763126
672243570,139,4.740079
672265044,169,5.763108
672286518,139,4.740064
672307992,131,4.467247
672329466,123,4.194432
672350940,177,6.035880
672372414,107,3.648803
672393888,131,4.467219
672415362,169,5.763045
672436836,131,4.467205
672458310,107,3.648780
672479784,131,4.467191
672501258,131,4.467184
672522732,107,3.648763
672544206,191,6.513202
