n,sigma,ratio_sigma_log2n
933432481,515,17.283056
39358695,436,17.280892
936443545,515,17.280362
936443551,515,17.280362
317121598,488,17.280171
317121599,488,17.280171
174419129,473,17.276656
174419131,473,17.276656
213227815,478,17.276388
516060092,500,17.275356
516060093,500,17.275356
516060094,500,17.275356
770907375,510,17.275263
945352107,515,17.272445
775065464,510,17.270723
775065466,510,17.270723
775065468,510,17.270723
775065469,510,17.270723
776266655,510,17.269416
39824642,436,17.269270
39824643,436,17.269270
39824647,436,17.269270
176187369,473,17.267478
639199710,505,17.263959
639199711,505,17.263959
640275643,505,17.262527
783531420,510,17.261561
783531421,510,17.261561
783531422,510,17.261561
787583657,510,17.257214
145946715,468,17.256086
146124543,468,17.254968
790124241,510,17.254501
790124242,510,17.254501
790124243,510,17.254501
966641915,515,17.253853
435425705,495,17.248678
179910969,473,17.248479
147166140,468,17.248451
147166141,468,17.248451
147166142,468,17.248451
797640841,510,17.246531
653961490,505,17.244541
653961491,505,17.244541
537468143,500,17.240426
33602044,431,17.238589
33602045,431,17.238589
33602046,431,17.238589
540232574,500,17.236027
540232575,500,17.236027
661104636,505,17.235316
661104637,505,17.235316
661104638,505,17.235316
988770791,515,17.234997
41276670,436,17.234003
41276671,436,17.234003
664523711,505,17.230940
664834671,505,17.230543
666667167,505,17.228209
666667330,505,17.228209
666667331,505,17.228209
225763326,478,17.225079
225763327,478,17.225079
367390439,490,17.221541
151799881,468,17.220066
124171433,463,17.219732
28020007,426,17.219110
28020009,426,17.219110
551780009,500,17.217917
675432065,505,17.217140
552635147,500,17.216592
455177694,495,17.210295
455177695,495,17.210295
455571547,495,17.209548
153666407,468,17.208902
834275355,510,17.208830
557807039,500,17.208629
28351727,426,17.207301
126203214,463,17.204750
126203215,463,17.204750
562500562,500,17.201472
562500563,500,17.201472
23456487,421,17.195265
309952623,485,17.194025
567665499,500,17.193672
35212527,431,17.192147
128081150,463,17.191137
128081151,463,17.191137
104769647,458,17.190485
569895806,500,17.190328
569895807,500,17.190328
466285906,495,17.189506
466285907,495,17.189506
23641881,421,17.187292
23641883,421,17.187292
387160903,490,17.175892
106483963,458,17.175390
580640041,500,17.174418
474609851,495,17.174281
87365115,453,17.171739
393428735,490,17.161954
6674175,389,17.159122
88583295,453,17.158746
19947838,416,17.154831
19947839,416,17.154831
966521316,512,17.153448
966521317,512,17.153448
966521318,512,17.153448
399351222,490,17.149007
399351223,490,17.149007
489915035,495,17.147040
400452062,490,17.146624
400452063,490,17.146624
405716839,490,17.135325
91140127,453,17.132106
3732423,374,17.131067
501130425,495,17.127666
501130427,495,17.127666
815502364,507,17.126577
815502365,507,17.126577
815502366,507,17.126577
815502369,507,17.126577
999874217,512,17.125366
336952594,485,17.120888
336952595,485,17.120888
5649499,384,17.120164
275625289,480,17.119542
1010093369,512,17.116967
1012541439,512,17.114969
62196455,443,17.110636
422828796,490,17.099685
422828797,490,17.099685
422828798,490,17.099685
62932764,443,17.099422
62932765,443,17.099422
62932766,443,17.099422
62932775,443,17.099422
688080120,502,17.099257
688080122,502,17.099257
688080124,502,17.099257
688080125,502,17.099257
1033420616,512,17.098138
1033420618,512,17.098138
1033420620,512,17.098138
1033420621,512,17.098138
1033420625,512,17.098138
1035022203,512,17.096863
1035022206,512,17.096863
1035022207,512,17.096863
21146727,416,17.095470
231812223,475,17.093475
284303753,480,17.092277
232558831,475,17.090622
232558838,475,17.090622
232558839,475,17.090622
232558841,475,17.090622
852266281,507,17.089852
1044690591,512,17.089208
1044708561,512,17.089194
1044708562,512,17.089194
1044708563,512,17.089194
853700857,507,17.088454
853700859,507,17.088454
1050111542,512,17.084950
1050111543,512,17.084950
1051825019,512,17.083609
859387183,507,17.082939
1053475327,512,17.082320
1053498988,512,17.082302
1053498989,512,17.082302
1053498990,512,17.082302
1063521121,512,17.074520
1067349435,512,17.071569
580567606,497,17.071477
580567607,497,17.071477
356761799,485,17.071222
871948652,507,17.070898
871948653,507,17.070898
871948654,507,17.070898
872954535,507,17.069942
53099522,438,17.067908
53099523,438,17.067908
53099527,438,17.067908
53099529,438,17.067908
238979239,475,17.066496
716624190,502,17.065170
716624191,502,17.065170
719099675,502,17.062285
719293147,502,17.062060
881472849,507,17.061894
881472850,507,17.061894
881472851,507,17.061894
196213995,470,17.061221
196221521,470,17.061187
196221522,470,17.061187
196221523,470,17.061187
720310098,502,17.060878
720310099,502,17.060878
886031614,507,17.057622
886031615,507,17.057622
725107995,502,17.055326
888889772,507,17.054956
888889773,507,17.054956
888889774,507,17.054956
198210791,470,17.052179
897345947,507,17.047123
900576086,507,17.044152
900576087,507,17.044152
489853918,492,17.043225
489853919,492,17.043225
735706678,502,17.043204
735706679,502,17.043204
44481895,433,17.042739
301017769,480,17.042263
736846862,502,17.041911
736846863,502,17.041911
164190055,465,17.038714
44802724,433,17.035786
44802725,433,17.035786
44802726,433,17.035786
743742718,502,17.034140
743742719,502,17.034140
606903593,497,17.034028
202324095,470,17.033866
55035561,438,17.033615
202399841,470,17.033532
607428729,497,17.033300
607761647,497,17.032838
165555559,465,17.031258
165561910,465,17.031223
165561911,465,17.031223
747939007,502,17.029450
916876287,507,17.029337
917554631,507,17.028726
750000748,502,17.027156
750000749,502,17.027156
750000750,502,17.027156
55644487,438,17.023105
204888542,470,17.022655
204888543,470,17.022655
757135643,502,17.019270
168270953,465,17.016629
759861074,502,17.016280
759861075,502,17.016280
620752511,497,17.015045
37360009,428,17.014516
37360011,428,17.014516
621714540,497,17.013744
621714541,497,17.013744
621714542,497,17.013744
253983743,475,17.012796
938559771,507,17.010070
938559775,507,17.010070
12499963,401,17.009241
138535359,460,17.008262
512074907,492,17.005521
512517991,492,17.004788
628700443,497,17.004360
170774866,465,17.003370
170774867,465,17.003370
46340775,433,17.003211
37802302,428,17.003039
37802303,428,17.003039
46436255,433,17.001228
774186721,502,17.000752
139692862,460,17.000717
139692863,460,17.000717
632813134,497,16.998889
632813135,497,16.998889
516214537,492,16.998697
638623687,497,16.991226
638833199,497,16.990951
641132783,497,16.987940
141978617,460,16.986017
524571646,492,16.985100
524571647,492,16.985100
791909807,502,16.981972
31522507,423,16.981215
31522510,423,16.981215
31522511,423,16.981214
116486823,455,16.980405
144091295,460,16.972662
434117991,487,16.972478
532468297,492,16.972470
653220046,497,16.972308
653220047,497,16.972308
533936082,492,16.970145
533936083,492,16.970145
435556011,487,16.969656
356975335,482,16.965111
540836967,492,16.959307
540955785,492,16.959122
119794459,455,16.954846
668173902,497,16.953403
668173903,497,16.953403
98285755,450,16.948847
26597116,418,16.947251
26597117,418,16.947251
26597118,418,16.947251
26597119,418,16.947251
551154415,492,16.943385
449270124,487,16.943251
449270125,487,16.943251
449270126,487,16.943251
121520169,455,16.941819
450508571,487,16.940910
367500385,482,16.940116
367500391,482,16.940116
99449307,450,16.938015
99449319,450,16.938015
99449323,450,16.938015
917440162,504,16.928067
917440163,504,16.928067
917440164,504,16.928067
917440165,504,16.928067
917440166,504,16.928067
917440167,504,16.928067
7332399,386,16.925479
563771729,492,16.924353
563771730,492,16.924353
563771731,492,16.924353
307591871,477,16.917028
82928606,445,16.916700
82928607,445,16.916700
379071670,482,16.913530
379071671,482,16.913530
22441319,413,16.912606
380116607,482,16.911173
310078441,477,16.910062
310078450,477,16.910062
310078451,477,16.910062
310078454,477,16.910062
310078455,477,16.910062
83910353,445,16.905788
83910354,445,16.905788
83910355,445,16.905788
83910363,445,16.905788
83910366,445,16.905788
83910367,445,16.905788
383606875,482,16.903353
774090140,499,16.899256
774090141,499,16.899256
774090142,499,16.899256
7532665,386,16.896677
475682398,487,16.894808
475682399,487,16.894808
955498921,504,16.894792
958799566,504,16.891975
958799567,504,16.891975
959057529,504,16.891755
960413465,504,16.890601
960413467,504,16.890601
259460827,472,16.886730
318638985,477,16.886541
319841723,477,16.883293
320723271,477,16.880920
261628694,472,16.879481
261628695,472,16.879481
261628697,472,16.879481
975679647,504,16.877732
980942236,504,16.873347
980942237,504,16.873347
980942238,504,16.873347
70799362,440,16.872956
70799363,440,16.872956
70799367,440,16.872956
70799369,440,16.872956
86969775,445,16.872671
982462482,504,16.872085
982462483,504,16.872085
264281054,472,16.870701
264281055,472,16.870701
653138556,494,16.869963
653138557,494,16.869963
653138558,494,16.869963
653138559,494,16.869963
806202215,499,16.865762
401357025,482,16.864757
991656956,504,16.864498
991656957,504,16.864498
991656958,504,16.864498
71530655,440,16.863369
808987135,499,16.862927
809204790,499,16.862706
809204791,499,16.862706
810348862,499,16.861544
810348863,499,16.861544
996785567,504,16.860299
997252007,504,16.859919
997252009,504,16.859919
998412031,504,16.858973
6355687,381,16.858693
1000000751,504,16.857679
1000000996,504,16.857679
1000000997,504,16.857679
1000000998,504,16.857679
1000001007,504,16.857679
815746495,499,16.856089
815746539,499,16.856089
218920073,467,16.855659
219186815,467,16.854590
269866454,472,16.852526
269866455,472,16.852526
820187163,499,16.851631
59038043,435,16.850576
1009514190,504,16.849980
1009514191,504,16.849980
220740745,467,16.848393
220749212,467,16.848359
220749213,467,16.848359
220749214,467,16.848359
1013148098,504,16.847061
1013148099,504,16.847061
59309193,435,16.846262
1723519,349,16.846129
72994431,440,16.844502
827670014,499,16.844177
827670015,499,16.844177
828952721,499,16.842907
828952722,499,16.842907
828952723,499,16.842907
273184722,472,16.841924
273184723,472,16.841924
551085659,489,16.840176
73380747,440,16.839593
59736964,435,16.839500
59736965,435,16.839500
59736966,435,16.839500
